Duelo ,Equipo ganador ,equipo perdedor ,Puntaje de equipo ganador ,Puntaje de equipo perdedor ,Diferencia ,Fecha 
76ers vs Bulls,Bulls,76ers,142,110,32,24/02/2025
Wizards vs Nets,Wizards,Nets,107,99,8,24/02/2025
Hawks vs Heat,Hawks,Heat,98,86,12,24/02/2025
Jazz vs Trail Blazers,Trail Blazers,Jazz,114,112,2,24/02/2025
Pistons vs Clippers,Pistons,Clippers,106,97,9,24/02/2025
Pacers vs Nuggets,Nuggets,Pacers,125,116,9,24/02/2025
Timberwolves vs Thunder,Timberwolves,Thunder,131,128,3,24/02/2025
Kings vs Hornets,Kings,Hornets,130,88,42,24/02/2025
Raptors vs Celtics ,Celtics ,Raptors,111,101,10,25/02/2025
Pelicans vs Spurs ,Pelicans ,Spurs ,109,103,6,25/02/2025
Rockets vs Bucks,Rockets ,Bucks,100,97,3,25/02/2025
Warriors vs Hornets,Warriors ,Hornets,128,92,36,25/02/2025
Cavaliers vs Magic,Cavaliers,Magic,122,82,40,25/02/2025
Grizzlies vs Suns,Grizzlies ,Suns ,151,148,3,25/02/2025
Lakers vs Mavericks,Lakers,Mavericks ,107,99,8,25/02/2025
Knicks vs 76ers,Knicks,76ers,110,105,5,26/02/2025
Trail Blazers vs Wizards,Trail Blazers,Wizards,129,121,8,26/02/2025
Heat vs Hawks,Heat,Hawks,131,109,22,26/02/2025
Clippers vs Bulls,Clippers,Bulls ,122,117,5,26/02/2025
Rockets vs Spurs,Rockets ,Spurs,118,106,12,26/02/2025
Pacers vs Raptors,Pacers ,Raptors ,111,91,20,26/02/2025
Pistons vs Celtics,Pistons,Celtics,117,97,20,26/02/2025
Thunder vs Nets,Thunder,Nets,129,121,8,26/02/2025
Kings vs Jazz,Kings,Jazz,118,101,17,26/02/2025
Warriors vs Magic ,Warriors ,Magic,121,115,6,27/02/2025
Mavericks vs Hornets,Mavericks ,Hornets,103,96,7,27/02/2025
Lakers vs Timberwolves,Lakers,Timberwolves,111,102,9,27/02/2025
Bucks vs Nuggets,Bucks ,Nuggets,121,112,9,27/02/2025
Pelicans vs Suns,Pelicans,Suns,124,116,8,27/02/2025
Nuggets vs Pistons ,Nuggets ,Pistons,134,119,15,28/02/2025
Thunder vs Hawks,Thunder,Hawks,135,119,16,28/02/2025
Cavaliers vs Celtics,Cavaliers,Celtics,123,116,7,28/02/2025
Trail Blazers vs Nets,Trail Blazers,Nets,121,102,19,28/02/2025
Knicks vs Grizzlies,Knicks,Grizzlies ,114,113,1,28/02/2025
Bulls vs Raptors,Bulls,Raptors,125,115,10,28/02/2025
Heat vs Pacers,Heat,Pacers,125,120,5,28/02/2025
Suns vs Pelicans,Suns,Pelicans ,125,108,17,28/02/2025
Jazz vs Timberwolves,Jazz,Timberwolves,117,116,1,28/02/2025
Lakers vs Clippers,Lakers ,Clippers,106,102,4,28/02/2025
Wizards vs Nets,Wizards,Hornets,113,110,3,01/03/2025
Spurs vs Grizzlies,Spurs,Grizzlies ,130,128,2,01/03/2025
Bucks vs Mavericks,Bucks ,Mavericks ,132,117,15,01/03/2025
Pistons vs Nets,Pistons,Nets,115,94,21,01/03/2025
Kings vs Rockets,Kings,Rockets,113,103,10,01/03/2025
76ers vs Warrios,76ers,Warriors,126,119,7,01/03/2025
,,,,,,
,,,,,,
,,,,,,
